id,category_id,attribute_id,is_core
1,1,45,1
2,1,57,1
3,1,56,1
4,1,59,1
5,1,33,1
6,1,34,1
7,1,35,1
8,1,50,1
9,1,43,1
10,1,44,0
11,1,94,0
12,1,1,0
13,1,36,0
14,1,92,0
15,1,64,0
16,2,44,1
17,2,59,1
18,2,57,1
19,2,58,1
20,2,33,1
21,2,34,1
22,2,35,1
23,2,50,1
24,2,43,1
25,2,94,0
26,2,38,0
27,2,29,0
28,2,63,0
29,2,61,0
30,3,45,1
31,3,58,1
32,3,57,1
33,3,44,1
34,3,33,1
35,3,34,1
36,3,35,1
37,3,50,1
38,3,43,1
39,3,94,0
40,3,55,0
41,3,37,0
42,3,21,0
43,3,81,0
44,4,56,1
45,4,57,1
46,4,58,1
47,4,46,1
48,4,33,1
49,4,34,1
50,4,35,1
51,4,50,1
52,4,43,1
53,4,44,1
54,4,94,0
55,4,42,0
56,4,60,0
57,4,10,0
58,4,6,0
59,4,19,0
60,5,56,1
61,5,44,1
62,5,57,1
63,5,45,1
64,5,33,1
65,5,34,1
66,5,35,1
67,5,50,1
68,5,43,1
69,5,94,1
70,5,47,0
71,5,13,0
72,5,63,0
73,5,51,0
74,5,55,0
75,5,42,0
76,6,58,1
77,6,46,1
78,6,59,1
79,6,45,1
80,6,33,1
81,6,34,1
82,6,35,1
83,6,50,1
84,6,43,1
85,6,44,1
86,6,94,1
87,6,57,0
88,6,47,0
89,6,60,0
90,6,72,0
91,6,1,0
92,6,69,0
93,7,58,1
94,7,59,1
95,7,57,1
96,7,56,1
97,7,33,1
98,7,34,1
99,7,35,1
100,7,50,1
101,7,43,1
102,7,44,1
103,7,94,1
104,7,41,1
105,7,42,1
106,7,48,1
107,7,51,1
108,7,49,1
109,7,79,0
110,7,80,0
111,7,81,0
112,7,82,0
113,7,83,0
114,7,78,0
115,7,47,0
116,7,22,0
117,7,14,0
118,7,63,0
119,8,58,1
120,8,57,1
121,8,46,1
122,8,56,1
123,8,33,1
124,8,34,1
125,8,35,1
126,8,50,1
127,8,43,1
128,8,44,1
129,8,94,1
130,8,60,0
131,8,15,0
132,8,78,0
133,8,59,0
134,8,27,0
135,8,93,0
136,9,44,1
137,9,59,1
138,9,58,1
139,9,57,1
140,9,33,1
141,9,34,1
142,9,35,1
143,9,50,1
144,9,43,1
145,9,94,1
146,9,41,1
147,9,42,1
148,9,48,1
149,9,51,1
150,9,49,1
151,9,79,1
152,9,80,1
153,9,81,0
154,9,82,0
155,9,83,0
156,9,78,0
157,9,60,0
158,9,47,0
159,9,37,0
160,9,92,0
161,9,88,0
162,9,69,0
163,9,71,0
164,10,45,1
165,10,56,1
166,10,59,1
167,10,46,1
168,10,33,1
169,10,34,1
170,10,35,1
171,10,50,1
172,10,43,1
173,10,44,1
174,10,94,1
175,10,57,1
176,10,84,1
177,10,72,0
178,10,85,0
179,10,31,0
180,10,60,0
181,10,77,0
182,10,22,0
183,10,3,0
184,10,11,0
185,11,56,1
186,11,46,1
187,11,44,1
188,11,58,1
189,11,33,1
190,11,34,1
191,11,35,1
192,11,50,1
193,11,43,1
194,11,94,1
195,11,57,0
196,11,60,0
197,11,96,0
198,11,90,0
199,11,83,0
200,11,74,0
201,12,44,1
202,12,45,1
203,12,57,1
204,12,58,1
205,12,33,1
206,12,34,1
207,12,35,1
208,12,50,1
209,12,43,1
210,12,94,1
211,12,97,1
212,12,2,1
213,12,30,1
214,12,31,1
215,12,1,0
216,12,73,0
217,12,47,0
218,12,60,0
219,12,27,0
220,12,55,0
221,12,28,0
222,12,52,0
223,13,56,1
224,13,46,1
225,13,59,1
226,13,44,1
227,13,33,1
228,13,34,1
229,13,35,1
230,13,50,1
231,13,43,1
232,13,94,1
233,13,57,0
234,13,47,0
235,13,20,0
236,13,91,0
237,13,53,0
238,13,70,0
239,14,59,1
240,14,57,1
241,14,44,1
242,14,46,1
243,14,33,1
244,14,34,1
245,14,35,1
246,14,50,1
247,14,43,1
248,14,94,0
249,14,92,0
250,14,14,0
251,14,29,0
